Year,Count,Cululative
1985,1,1
1986,0,1
1987,1,2
1988,0,2
1989,0,2
1990,0,2
1991,0,2
1992,3,5
1993,1,6
1994,3,9
1995,2,11
1996,6,17
1997,8,25
1998,9,34
1999,7,41
2000,11,52
2001,5,57
2002,13,70
2003,18,88
2004,16,104
2005,18,122
2006,24,146
2007,28,174
2008,30,204
2009,41,245
2010,43,288
2011,40,328
2012,65,393
2013,55,448
2014,72,520
2015,35,555
